Title,URL
Don't watch my A2Z DSA Course,https://www.youtube.com/watch?v=0bHoB32fuj0
How to setup VS code for DSA and CP | Input / Output split format,https://www.youtube.com/watch?v=h3uDCJ5mvgw
C++ Basics in One Shot - Strivers A2Z DSA Course - L1,https://www.youtube.com/watch?v=EAR7De6Goz4
Time and Space Complexity - Strivers A2Z DSA Course,https://www.youtube.com/watch?v=FPu9Uld7W-E
Solve any Pattern Question - Trick Explained | 22 Patterns in 1 Shot | Strivers A2Z DSA Course,https://www.youtube.com/watch?v=tNm_NNSB3_w
Complete C++ STL in 1 Video | Time Complexity and Notes,https://www.youtube.com/watch?v=RRVYpIET_RU
Basic Maths for DSA | Euclidean Algorithm | Strivers A2Z DSA Course,https://www.youtube.com/watch?v=1xNbjMdbjug
Re 1. Introduction to Recursion | Recursion Tree | Stack Space | Strivers A2Z DSA Course,https://www.youtube.com/watch?v=yVdKa8dnKiE
Re 2. Problems on Recursion | Strivers A2Z DSA Course,https://www.youtube.com/watch?v=un6PLygfXrA
Re 3. Parameterised and Functional Recursion | Strivers A2Z DSA Course,https://www.youtube.com/watch?v=69ZCDFy-OUo
Re 4. Problems on Functional Recursion | Strivers A2Z DSA Course,https://www.youtube.com/watch?v=twuC1F6gLI8
Re 5. Multiple Recursion Calls | Problems | Strivers A2Z DSA Course,https://www.youtube.com/watch?v=kvRjNm4rVBE
Hashing | Maps | Time Complexity | Collisions | Division Rule of Hashing | Strivers A2Z DSA Course,https://www.youtube.com/watch?v=KEs5UyBJ39g
"Sorting - Part 1 | Selection Sort, Bubble Sort, Insertion Sort | Strivers A2Z DSA Course",https://www.youtube.com/watch?v=HGk_ypEuS24
Merge Sort | Algorithm | Pseudocode | Dry Run | Code | Strivers A2Z DSA Course,https://www.youtube.com/watch?v=ogjf7ORKfd8
Quick Sort For Beginners | Strivers A2Z DSA Course,https://www.youtube.com/watch?v=WIrA4YexLRQ
Find Second Largest Element in Array | Remove duplicates from Sorted Array | Arrays Intro Video,https://www.youtube.com/watch?v=37E9ckMDdTk
"Rotate Array by K places | Union, Intersection of Sorted Arrays | Move Zeros to End | Arrays Part-2",https://www.youtube.com/watch?v=wvcQg43_V8U
Find element that appears once | Find missing number | Max Consecutive number of 1's | Arrays Part-3,https://www.youtube.com/watch?v=bYWLJb3vCWY
Longest Subarray with sum K | Brute - Better - Optimal | Generate Subarrays,https://www.youtube.com/watch?v=frf7qxiN2qU
2 Sum Problem | 2 types of the same problem for Interviews | Brute-Better-Optimal,https://www.youtube.com/watch?v=UXDSeD9mN-k
Sort an array of 0's 1's & 2's | Intuition of AlgoðŸ”¥ | C++ Java Python | Brute-Better-Optimal,https://www.youtube.com/watch?v=tp8JIuCXBaU
Majority Element I | Brute-Better-Optimal | Moore's Voting Algorithm | Intuition ðŸ”¥|Brute to Optimal,https://www.youtube.com/watch?v=nP_ns3uSh80
Kadane's Algorithm | Maximum Subarray Sum | Finding and Printing,https://www.youtube.com/watch?v=AHZpyENo7k4
DP 35. Best Time to Buy and Sell Stock | DP on Stocks ðŸ”¥,https://www.youtube.com/watch?v=excAOvwF_Wk
Rearrange Array Elements by Sign | 2 Varieties of same Problem,https://www.youtube.com/watch?v=h4aBagy4Uok
Next Permutation - Intuition in Detail ðŸ”¥ | Brute to Optimal,https://www.youtube.com/watch?v=JDOXKqF60RQ
Leaders in an Array | Brute - Optimal | Strivers A2Z DSA Course,https://www.youtube.com/watch?v=cHrH9CQ8pmY
Longest Consecutive Sequence | Google Interview Question | Brute Better Optimal,https://www.youtube.com/watch?v=oO5uLE7EUlM
Set Matrix Zeroes | O(1) Space Approach | Brute - Better - Optimal,https://www.youtube.com/watch?v=N0MgLvceX7M
Rotate Matrix/Image by 90 Degrees | Brute - Optimal,https://www.youtube.com/watch?v=Z0R2u6gd3GU
Spiral Traversal of a Matrix | Spiral Matrix,https://www.youtube.com/watch?v=3Zv-s9UUrFM
Count Subarray sum Equals K | Brute - Better -Optimal,https://www.youtube.com/watch?v=xvNwoz-ufXA
Pascal Triangle | Finding nCr in minimal time,https://www.youtube.com/watch?v=bR7mQgwQ_o8
Majority Element II | Brute-Better-Optimal,https://www.youtube.com/watch?v=vwZj1K0e9U8
3 Sum | Brute -  Better - Optimal with Codes,https://www.youtube.com/watch?v=DhFh8Kw7ymk
4 Sum | Brute - Better - Optimal with Codes,https://www.youtube.com/watch?v=eD95WRfh81c
Number of Subarrays with xor K | Brute - Better - Optimal,https://www.youtube.com/watch?v=eZr-6p0B7ME
"Merge Overlapping Intervals | Brute, Optimal with Precise TC analysis",https://www.youtube.com/watch?v=IexN60k62jo
Merge Sorted Arrays Without Extra Space | 2 Optimal Solution,https://www.youtube.com/watch?v=n7uwj04E0I4
Find the Missing and Repeating Number | 4 Approaches ðŸ”¥,https://www.youtube.com/watch?v=2D0D8HE6uak
Count Inversions in an Array | Brute and Optimal,https://www.youtube.com/watch?v=AseUmwVNaoY
Reverse Pairs | Hard Interview Question,https://www.youtube.com/watch?v=0e4bZaP3MDI
Maximum Product Subarray - Best Intuitive Approach Discussed,https://www.youtube.com/watch?v=hnswaLJvr6g
BS-1. Binary Search Introduction | Real Life Example | Iterative | Recursive | Overflow Cases,https://www.youtube.com/watch?v=MHf6awe89xw
BS-2. Implement Lower Bound and Upper Bound | Search Insert Position | Floor and Ceil,https://www.youtube.com/watch?v=6zhGS79oQ4k
BS-3. First and Last Occurrences in Array | Count occurrences in Array,https://www.youtube.com/watch?v=hjR1IYVx9lY
BS-4. Search Element in Rotated Sorted Array - I,https://www.youtube.com/watch?v=5qGrJbHhqFs
BS-5. Search Element in Rotated Sorted Array II,https://www.youtube.com/watch?v=w2G2W8l__pc
BS-6. Minimum in Rotated Sorted Array,https://www.youtube.com/watch?v=nhEMDKMB44g
BS-7. Find out how many times array has been rotated,https://www.youtube.com/watch?v=jtSiWTPLwd0
BS-8. Single Element in Sorted Array,https://www.youtube.com/watch?v=AZOmHuHadxQ
BS-9. Find Peak Element,https://www.youtube.com/watch?v=cXxmbemS6XM
BS-10. Finding Sqrt of a number using Binary Search,https://www.youtube.com/watch?v=Bsv3FPUX_BA
BS-11. Find the Nth root of an Integer,https://www.youtube.com/watch?v=rjEJeYCasHs
BS-12. Koko Eating Bananas,https://www.youtube.com/watch?v=qyfekrNni90
BS-13. Minimum days to make M bouquets | Binary Search,https://www.youtube.com/watch?v=TXAuxeYBTdg
BS-14. Find the Smallest Divisor Given a Threshold | Binary Search,https://www.youtube.com/watch?v=UvBKTVaG6U8
BS-15. Capacity to Ship Packages within D Days,https://www.youtube.com/watch?v=MG-Ac4TAvTY
BS-16. Kth Missing Positive Number | Maths + Binary Search,https://www.youtube.com/watch?v=uZ0N_hZpyps
BS-17. Aggressive Cows | Binary Search Hard,https://www.youtube.com/watch?v=R_Mfw4ew-Vo
BS-18. Allocate Books or Book Allocation | Hard Binary Search,https://www.youtube.com/watch?v=Z0hwjftStI4
BS 19. Painter's Partition and Split Array - Largest Sum,https://www.youtube.com/watch?v=thUd_WJn6wk
BS-20. Minimise Maximum Distance between Gas Stations | 3 Approaches | Heap | Binary Search,https://www.youtube.com/watch?v=kMSBvlZ-_HA
BS 21: Median of two Sorted Arrays of Different Sizes | Brute and Better Approach,https://www.youtube.com/watch?v=C2rRzz-JDk8
BS-21. Median of two Sorted Arrays of Different Sizes | Binary Search Approach With Intuition,https://www.youtube.com/watch?v=F9c7LpRZWVQ
Bs-22. K-th element of two sorted arrays | Binary Search Approach,https://www.youtube.com/watch?v=D1oDwWCq50g
BS 23. Row with maximum number of 1s | Binary Search on 2D Arrays,https://www.youtube.com/watch?v=SCz-1TtYxDI
BS-24. Search in a 2D Matrix - I | Binary Search of 2D,https://www.youtube.com/watch?v=JXU4Akft7yk
BS-25. Search in a 2D Matrix - II  |  Binary Search on 2D,https://www.youtube.com/watch?v=9ZbB397jU4k
BS-26. Find Peak Element-II | Binary Search,https://www.youtube.com/watch?v=nGGp5XBzC4g
BS-27. Median in a Row Wise Sorted Matrix,https://www.youtube.com/watch?v=Q9wXgdxJq48
L1. Introduction to Trees | Types of Trees,https://www.youtube.com/watch?v=_ANrF3FJm7I
L2. Binary Tree Representation in C++,https://www.youtube.com/watch?v=ctCpP0RFDFc
L3. Binary Tree Representation in Java,https://www.youtube.com/watch?v=hyLyW7rP24I
L4. Binary Tree Traversals in Binary Tree | BFS | DFS,https://www.youtube.com/watch?v=jmy0LaGET1I
L5. Preorder Traversal of Binary Tree | C++ | Java | Code Explanation,https://www.youtube.com/watch?v=RlUu72JrOCQ
L6. Inorder Traversal of Binary Tree | C++ | Java | Code Explanation,https://www.youtube.com/watch?v=Z_NEgBgbRVI
L7. Postorder Traversal of Binary Tree | C++ | Java | Code Explanation,https://www.youtube.com/watch?v=COQOU6klsBg
L8. Level Order Traversal of Binary Tree | BFS | C++ | Java,https://www.youtube.com/watch?v=EoAsWbO7sqg
L9. Iterative Preorder Traversal in Binary Tree | C++ | Java | Stack,https://www.youtube.com/watch?v=Bfqd8BsPVuw
L10. iterative Inorder Traversal in Binary Tree | C++ | Java | Stack,https://www.youtube.com/watch?v=lxTGsVXjwvM
L11. Iterative Postorder Traversal using 2 Stack | C++ | Java | Binary Tree,https://www.youtube.com/watch?v=2YBhNLodD8Q
L12. Iterative Postorder Traversal using 1 Stack | C++ | Java | Binary Trees,https://www.youtube.com/watch?v=NzIGLLwZBS8
L13. Preorder Inorder Postorder Traversals in One Traversal | C++ | Java | Stack | Binary Trees,https://www.youtube.com/watch?v=ySp2epYvgTE
L14. Maximum Depth in Binary Tree | Height of Binary Tree | C++ | Java,https://www.youtube.com/watch?v=eD3tmO66aBA
L15. Check for Balanced Binary Tree | C++ | Java,https://www.youtube.com/watch?v=Yt50Jfbd8Po
L16. Diameter of Binary Tree | C++ | Java,https://www.youtube.com/watch?v=Rezetez59Nk
L17. Maximum Path Sum in Binary Tree | C++ | Java,https://www.youtube.com/watch?v=WszrfSwMz58
L18. Check it two trees are Identical or Not | C++ | Java,https://www.youtube.com/watch?v=BhuvF_-PWS0
L19. Zig-Zag or Spiral Traversal in Binary Tree | C++ | Java,https://www.youtube.com/watch?v=3OXWEdlIGl4
L20. Boundary Traversal in Binary Tree | C++ | Java,https://www.youtube.com/watch?v=0ca1nvR0be4
L21. Vertical Order Traversal of Binary Tree | C++ | Java,https://www.youtube.com/watch?v=q_a6lpbKJdw
L22. Top View of Binary Tree | C++ | Java,https://www.youtube.com/watch?v=Et9OCDNvJ78
L23. Bottom View of Binary Tree | C++ | Java,https://www.youtube.com/watch?v=0FtVY6I4pB8
L24. Right/Left View of Binary Tree | C++ | Java,https://www.youtube.com/watch?v=KV4mRzTjlAk
L25. Check for Symmetrical Binary Trees | C++ | Java,https://www.youtube.com/watch?v=nKggNAiEpBE
L26. Print Root to Node Path in Binary Tree | C++ | Java,https://www.youtube.com/watch?v=fmflMqVOC7k
L27. Lowest Common Ancestor in Binary Tree | LCA | C++ | Java,https://www.youtube.com/watch?v=_-QHfMDde90
L28. Maximum Width of Binary Tree | C++ | Java,https://www.youtube.com/watch?v=ZbybYvcVLks
L29. Children Sum Property in Binary Tree | O(N) Approach | C++ | Java,https://www.youtube.com/watch?v=fnmisPM6cVo
L30. Print all the Nodes at a distance of K in Binary Tree | C++ | Java,https://www.youtube.com/watch?v=i9ORlEy6EsI
L31. Minimum time taken to BURN the Binary Tree from a Node | C++ | Java,https://www.youtube.com/watch?v=2r5wLmQfD6g
L32. Count total Nodes in a COMPLETE Binary Tree | O(Log^2 N) Approach | C++ | Java,https://www.youtube.com/watch?v=u-yWemKGWO0
L33. Requirements needed to construct a Unique Binary Tree | Theory,https://www.youtube.com/watch?v=9GMECGQgWrQ
L34. Construct a Binary Tree from Preorder and Inorder Traversal | C++ | Java,https://www.youtube.com/watch?v=aZNaLrVebKQ
L35. Construct the Binary Tree from Postorder and Inorder Traversal | C++ | Java,https://www.youtube.com/watch?v=LgLRTaEMRVc
L36. Serialize and De-serialize Binary Tree | C++ | Java,https://www.youtube.com/watch?v=-YbXySKJsX8
L37. Morris Traversal | Preorder | Inorder | C++ | Java,https://www.youtube.com/watch?v=80Zug6D1_r4
L38. Flatten a Binary Tree to Linked List | 3 Approaches | C++ | Java,https://www.youtube.com/watch?v=sWf7k1x9XR4
L39. Introduction to Binary Search Tree | BST,https://www.youtube.com/watch?v=p7-9UvDQZ3w
L40. Search in a Binary Search Tree | BST | C++ | Java,https://www.youtube.com/watch?v=KcNt6v_56cc
L41. Ceil in a Binary Search Tree | BST | C++ | Java,https://www.youtube.com/watch?v=KSsk8AhdOZA
L42. Floor in a Binary Search Tree | BST | C++ | Java,https://www.youtube.com/watch?v=xm_W1ub-K-w
L43. Insert a given Node in Binary Search Tree | BST | C++ | Java,https://www.youtube.com/watch?v=FiFiNvM29ps
L44. Delete a Node in Binary Search Tree | BST | C++ | Java,https://www.youtube.com/watch?v=kouxiP_H5WE
L45. K-th Smallest/Largest Element in BST,https://www.youtube.com/watch?v=9TJYWh0adfk
L46. Check if a tree is a BST or BT | Validate a BST,https://www.youtube.com/watch?v=f-sj7I5oXEI
L47. LCA in Binary Search Tree,https://www.youtube.com/watch?v=cX_kPV_foZc
L48. Construct a BST from a preorder traversal | 3 Methods,https://www.youtube.com/watch?v=UmJT3j26t1I
L49. Inorder Successor/Predecessor in BST | 3 Methods,https://www.youtube.com/watch?v=SXKAD2svfmI
L50. Binary Search Tree Iterator | BST | O(H) Space,https://www.youtube.com/watch?v=D2jMcmxU4bs
L51. Two Sum In BST | Check if there exists a pair with Sum K,https://www.youtube.com/watch?v=ssL3sHwPeb4
L52. Recover BST | Correct BST with two nodes swapped,https://www.youtube.com/watch?v=ZWGW7FminDM
L53. Largest BST in Binary Tree,https://www.youtube.com/watch?v=X0oXMdtUDwo
G-1. Introduction to Graph | Types | Different Conventions Used,https://www.youtube.com/watch?v=M3_pLsDdeuU
G-2. Graph Representation in C++ | Two Ways to Represent,https://www.youtube.com/watch?v=3oI-34aPMWM
G-3. Graph Representation in Java | Two Ways to Represent,https://www.youtube.com/watch?v=OsNklbh9gYI
G-4. What are Connected Components ?,https://www.youtube.com/watch?v=lea-Wl_uWXY
G-5. Breadth-First Search (BFS) | C++ and Java | Traversal Technique in Graphs,https://www.youtube.com/watch?v=-tgVpUgsQ5k
G-6. Depth-First Search (DFS) | C++ and Java | Traversal Technique in Graphs,https://www.youtube.com/watch?v=Qzf1a--rhp8
G-7. Number of Provinces | C++ | Java | Connected Components,https://www.youtube.com/watch?v=ACzkVtewUYA
G-8. Number of Islands | Number of Connected Components in Matrix | C++ | Java,https://www.youtube.com/watch?v=muncqlKJrH0
G-9. Flood Fill Algorithm | C++ | Java,https://www.youtube.com/watch?v=C-2_uSRli8o
G-10. Rotten Oranges | C++ | Java,https://www.youtube.com/watch?v=yf3oUhkvqA0
G-11. Detect a Cycle in an Undirected Graph using BFS | C++ | Java,https://www.youtube.com/watch?v=BPlrALf1LDU
G-12. Detect a Cycle in an Undirected Graph using DFS | C++ | Java,https://www.youtube.com/watch?v=zQ3zgFypzX4
G-13. Distance of nearest cell having 1 | 0/1 Matrix | C++ | Java,https://www.youtube.com/watch?v=edXdVwkYHF8
G-14. Surrounded Regions | Replace O's with X's | C++ | Java,https://www.youtube.com/watch?v=BtdgAys4yMk
G-15. Number of Enclaves | Multi-source BFS | C++ | Java,https://www.youtube.com/watch?v=rxKcepXQgU4
G-16. Number of Distinct Islands | Constructive Thinking + DFS | C++ | Java,https://www.youtube.com/watch?v=7zmgQSJghpo
G-17. Bipartite Graph | BFS | C++ | Java,https://www.youtube.com/watch?v=-vu34sct1g8
G-18. Bipartite Graph | DFS | C++ | Java,https://www.youtube.com/watch?v=KG5YFfR0j8A
G-19. Detect cycle in a directed graph using DFS | Java | C++,https://www.youtube.com/watch?v=9twcmtQj4DU
G-20. Find Eventual Safe States - DFS,https://www.youtube.com/watch?v=uRbJ1OF9aYM
G-21. Topological Sort Algorithm | DFS,https://www.youtube.com/watch?v=5lZ0iJMrUMk
G-22. Kahn's Algorithm | Topological Sort Algorithm | BFS,https://www.youtube.com/watch?v=73sneFXuTEg
G-23. Detect a Cycle in Directed Graph | Topological Sort | Kahn's Algorithm | BFS,https://www.youtube.com/watch?v=iTBaI90lpDQ
G-24. Course Schedule I and II | Pre-requisite Tasks | Topological Sort,https://www.youtube.com/watch?v=WAOfKpxYHR8
G-25. Find Eventual Safe States - BFS - Topological Sort,https://www.youtube.com/watch?v=2gtg3VsDGyc
G-26. Alien Dictionary - Topological Sort,https://www.youtube.com/watch?v=U3N_je7tWAs
G-27. Shortest Path in Directed Acyclic Graph - Topological Sort,https://www.youtube.com/watch?v=ZUFQfFaU-8U
G-28. Shortest Path in Undirected Graph with Unit Weights,https://www.youtube.com/watch?v=C4gxoTaI71U
G-29. Word Ladder - I | Shortest Paths,https://www.youtube.com/watch?v=tRPda0rcf8E
G-30. Word Ladder - 2 | Shortest Paths,https://www.youtube.com/watch?v=DREutrv2XD0
G-31. Word Ladder - 2 | Optimised Approach for Leetcode,https://www.youtube.com/watch?v=AD4SFl7tu7I
G-32. Dijkstra's Algorithm - Using Priority Queue - C++ and Java - Part 1,https://www.youtube.com/watch?v=V6H1qAeB-l4
